,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,loq,footnote,min_year_acquired,name,unit_name
211,352276,1257,0.06,,78.0,,,,,,,"Fatty acids, total trans",G
212,352278,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
213,352567,1257,0.01,,78.0,,,,,,,"Fatty acids, total trans",G
214,352775,1257,0.0,,78.0,,,,,,,"Fatty acids, total trans",G
215,353165,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
216,353184,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
217,353186,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
218,353256,1257,0.29,,78.0,,,,,,,"Fatty acids, total trans",G
219,353554,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
220,353612,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
221,353740,1257,0.0,,78.0,,,,,,,"Fatty acids, total trans",G
222,354221,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
223,354396,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
224,355078,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
225,355278,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
226,355311,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
227,355419,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
228,355441,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
229,355637,1257,0.0,,78.0,,,,,,,"Fatty acids, total trans",G
230,356129,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
231,356489,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
232,356607,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
233,356750,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
234,357139,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
235,357197,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
236,357269,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
237,357369,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
238,357444,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
239,357657,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
240,357819,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
241,357848,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
242,357894,1257,3.57,,70.0,,,,,,,"Fatty acids, total trans",G
243,357907,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
244,358063,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
245,358068,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
246,358139,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
247,358383,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
248,358653,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
249,358757,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
250,359593,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
251,359778,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
252,359888,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
253,359994,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
254,360378,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
255,360544,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
256,360688,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
257,360820,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
258,361122,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
259,361305,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
260,361663,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
261,361882,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
262,362264,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
263,362424,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
264,362539,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
265,362613,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
266,363075,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
267,363198,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
268,363867,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
269,364158,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
270,364184,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
271,364460,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
272,364555,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
273,364688,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
274,364904,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
275,366759,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
276,366938,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
277,367117,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
278,367176,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
279,367294,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
280,367610,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
281,367743,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
282,368431,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
283,368540,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
284,368700,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
285,369185,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
286,369424,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
287,369712,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
288,370393,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
289,370776,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
290,370860,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
291,371220,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
292,371567,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
293,372074,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
294,372505,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
295,372597,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
296,372665,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
297,372798,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
298,372869,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
299,373011,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
300,373104,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
301,373257,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
302,373285,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
303,374210,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
304,374224,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
305,374247,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
306,374282,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
307,374806,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
308,375425,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
309,375485,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
310,375672,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
311,376225,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
312,376402,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
313,376417,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
314,376650,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
315,376983,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
316,377513,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
317,377532,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
318,377535,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
